datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,buyer,seller,transaction_id
2022-01-07 06:08:17+00:00,3337,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2578.png,1888.0,3673,3355,4457,Pennsylvania Fangs,Player,1641535697,3 hours ago,0x4ca1d7aebf7a194b,0xea62ff380c3eb3e0,8e9213b0b86334d847a70a316fe1ce2cf40ada775f7bdc3560eef335eb4a096e
2022-01-07 06:07:39+00:00,3758,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8280.png,3000.0,5967,4891,5745,Michigan Colliders,Player,1641535659,3 hours ago,0x30c31c833bfd968a,0xeb5b51dfafbba6c1,b6055b6abb022296d20c3c44403bd4a51754c535e77388265a45be855cde53cb
2022-01-07 06:02:20+00:00,6180,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7791.png,1679.0,5380,6599,3523,Salt Lake City Souls,Player,1641535340,2 minutes ago,0x74c1c57382f89899,0x5fd5e9a97a2cbcd8,255b6c39353184119374be0bc83135774359f59e9fe7a024839672ef9e835db9
2022-01-07 05:53:21+00:00,9499,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8035.png,1899.0,6212,7136,4225,New York Golden Bulls,Player,1641534801,11 minutes ago,0xa394f4750a08fc72,0xf8af864cf8ac14c1,62fcc7fb6228288939add8a0d4a233072812643f1084c36a740360c724604267
2022-01-07 05:42:50+00:00,1711,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2329.png,1675.0,9452,8192,9077,Phoenix Skulls,Player,1641534170,22 minutes ago,0x69edfcfdcc3127d2,0x3f76365a8d8f29b6,c0acd38394534926dbbace83522292af3651eea454fb8d164fe058a1afbb0877
2022-01-07 05:27:32+00:00,5613,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5357.png,1650.0,5816,4521,5983,Los Angeles Mammoths,Player,1641533252,37 minutes ago,0x36b045d259345b17,0x62badfa4917085f6,10d4027cf58337a663633ccfccf871cacf9561a9891bfb075b63641b31051b54
2022-01-07 05:27:14+00:00,8339,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3048.png,3800.0,1414,4886,534,Delaware Horsemen,Captain,1641533234,38 minutes ago,0x84fee28a43181dae,0x4b70b55daf6ffc6c,4d0df425668f3ff44b6776108c0524ebc59dc997ec19cb13085b0aefdfdd3686
2022-01-07 05:20:19+00:00,3396,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5610.png,1700.0,4727,3569,5842,San Jose Sirens,Player,1641532819,44 minutes ago,0x7bd1d4b7e8b78abb,0x4e7bba8f6762da6d,2ec41ba17f090ef0a543a9a2b7aa4d80bb3383911317a9561b514fec657b5d42
2022-01-07 05:19:03+00:00,4888,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5244.png,13000.0,303,21,7377,San Jose Sirens,Player,1641532743,46 minutes ago,0xa4d8a55d4c93c65f,0x7220bbcb8b86604f,ed0fd259df46f4d11df691cb9a9198c2e045eeaff95b013d3c34eb684eaaa6a2
2022-01-07 04:56:57+00:00,3841,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5724.png,1959.0,7366,5666,6957,Omaha Bullsnakes,Player,1641531417,an hour ago,0x99ff13f81885c745,0xa2fe9c6f5303f5ad,43f42639a5952ee8c3de1069f642720ffaf8aa83fb614e9e68cc9ee716e3aa77
