datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,seller,transaction_id
2021-12-30 08:01:35+00:00,1927,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2098.png,1669.0,8519,9554,4789,D.C. Dobermans,Player,1640851295,an hour ago,0xe480c5cc95721cff,13acb67c4226c3453b7961bb352b80a2826adfdd3b54699387acc65a0779278c
2021-12-30 07:54:54+00:00,1628,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1571.png,1450.0,7681,5240,7837,Los Angeles Knives,Player,1640850894,an hour ago,0xa53c98385b26e5af,995b24f2427236e11108e83d0c2d9a936b5d82ab0760f3c44cab273a2cc84b08
2021-12-30 07:44:50+00:00,7977,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5933.png,2399.0,7014,9369,2754,Boston Rulers,Player,1640850290,an hour ago,0xcaadfdca380011e1,9c0c43c2f396249978ec82d67fec4ee712b957564f5c495c8c284d6eaea53054
2021-12-30 07:42:53+00:00,8129,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7195.png,2550.0,8108,3705,9402,Alabama Kingpins,Player,1640850173,an hour ago,0x7048edde593b978e,8ea3306d4b18ac375296ee0962b11e1e019d6edb6b5c284a911580db28f75b97
2021-12-30 07:41:44+00:00,4186,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7731.png,1600.0,6579,5745,5809,Sierra Spiders,Player,1640850104,an hour ago,0x2f5076723c1b1a0d,5165d94511621a9b58b23a27f2a63005dde1fdf35cc694f985ba05b188b1407d
2021-12-30 07:38:55+00:00,5069,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3350.png,1900.0,5036,2415,7614,Dallas Pythons,Player,1640849935,an hour ago,0x520d604b81a7c7a1,20d2ea19b526053afa021df26a1e80d7511a853420b55beac48fd789ce8bfe13
2021-12-30 07:35:50+00:00,7895,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3033.png,1899.0,8662,6896,8209,New Orleans Giants,Player,1640849750,an hour ago,0xc8a96ba3fc91bda6,d8df2d39144422225c7597936d81c510582637bf57a7d16297c251a6e3755244
2021-12-30 07:34:49+00:00,9662,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4732.png,2222.0,4170,8453,1333,New Jersey Scientists,Player,1640849689,an hour ago,0xa1d65e5fad2c55bd,b977c8900a00bb0a40ab4e69223567366acf33c484d28b8aa85d21eb96336713
2021-12-30 07:33:09+00:00,4264,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6368.png,1669.0,7324,5826,6779,Austin Machines,Player,1640849589,an hour ago,0xa1d65e5fad2c55bd,446f2debe22e73de39ed85572d356fe3faf30020099f9955e82665ed9710af4f
2021-12-30 07:32:02+00:00,653,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/653.png,4299.0,3597,5658,2041,Tallahassee Tarantulas,Player,1640849522,an hour ago,0xbc18f22de00f4ca5,5a81ea06ac9aed821bbd96072bc20e4097a5af7429b28be66171878ab542fe4a
2021-12-30 07:29:22+00:00,2635,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8072.png,1800.0,9704,3934,9824,San Jose Sirens,Player,1640849362,an hour ago,0xfcd0f09978e4756f,bee127607b123bf0857d80da9706c1321a20b14377d26f037e2f046ad3d09cb4
2021-12-30 07:26:37+00:00,4375,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4759.png,8000.0,497,1744,507,Michigan Colliders,Player,1640849197,a minute ago,0x96f2c4b0ae239409,1dbd66f3a7fec4f38e624e2a69054f2da9c7cb6c04b1f94e6a15b2305a2f4a80
2021-12-30 07:21:46+00:00,3671,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3475.png,1999.0,6303,4032,7254,Los Angeles Knives,Player,1640848906,6 minutes ago,0xcaadfdca380011e1,e45747e118df81e569e51c458ca9b548fd3500d1bb21af8290ab76123981925d
2021-12-30 07:19:10+00:00,1196,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1424.png,3000.0,5497,1914,8691,New Jersey Scientists,Player,1640848750,9 minutes ago,0xa75dde18a3c3947a,5c4b23c354b9b23b35c5a652c1c58622a8cda4e2b33390b82fdfb240af427791
2021-12-30 07:18:52+00:00,2820,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6338.png,3500.0,6090,1763,9262,Charlotte Clovers,Player,1640848732,9 minutes ago,0x8cc81116b826fe91,ed56989dc9ac818eea63c9e08d22ddd24d61a40779bcb00385fa7088abf8ec58
2021-12-30 07:17:37+00:00,481,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/481.png,1599.0,7254,6847,5952,San Diego Keepers,Player,1640848657,10 minutes ago,0xd4d19490bd4f4c4d,c756626e9688bd403a302d81426f7409175566e285e5a8eca48181e9c7a829f8
2021-12-30 07:17:05+00:00,7644,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3264.png,12000.0,4850,6725,2798,Salt Lake City Souls,Player,1640848625,11 minutes ago,0xe4db9c640c6e50ba,f70ac6365085d77aaf4d6462ab5e7c2045c1e4a5449ae0aaf3080d15d733d588
2021-12-30 07:16:32+00:00,7481,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8956.png,2999.0,6173,712,9803,Wisconsin Dragons,Player,1640848592,12 minutes ago,0x66ee6474a5fb6bca,003fb260513ba8b9a76dabfd1f752e54af080296f029df9d63f696087055fa89
